path,line,column,severity,rule,classification,message
alpha/apps/kaltura/lib/Services_JSON.class.php,366,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 3}
alpha/apps/kaltura/lib/Services_JSON.class.php,367,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 4}
alpha/apps/kaltura/lib/Services_JSON.class.php,368,50,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $var{$c + 5}
alpha/apps/kaltura/lib/Services_JSON.class.php,543,48,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,573,51,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{++$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,586,47,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,633,29,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $str{0}
alpha/apps/kaltura/lib/Services_JSON.class.php,672,60,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,714,42,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,714,64,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,716,115,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,719,41,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,728,41,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,734,41,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,739,41,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,745,41,ERROR,PHPCompatibility.Syntax.RemovedCurlyBraceArrayAccess.Removed,unverified static candidate,Curly brace syntax for accessing array elements and string offsets has been deprecated in PHP 7.4 and removed in PHP 8.0. Found: $chrs{$c}
alpha/apps/kaltura/lib/Services_JSON.class.php,803,9,ERROR,PHPCompatibility.FunctionNameRestrictions.RemovedPHP4StyleConstructors.Removed,unverified static candidate,Declaration of a PHP4 style class constructor is deprecated since PHP 7.0 and removed since PHP 8.0
